idx,drug_name,drug_text
12,Quetiapine,"Initially approved by the FDA in 1997, quetiapine is a second-generation atypical antipsychotic used in schizophrenia, major depression, and bipolar disorder.[L8546] Quetiapine demonstrates a high level of therapeutic efficacy and low risk of adverse effects during long-term treatment. It is well-tolerated and a suitable option for some patients with high sensitivity to other drugs, such as [clozapine] and [olanzapine].[A2189] Although the mechanism of action of quetiapine is not fully understood, several proposed mechanisms exist. In schizophrenia, its actions could occur from the antagonism of dopamine type 2 (D2) and serotonin 2A (5HT2A) receptors. In bipolar depression and major depression, quetiapine's actions may be attributed to the binding of this drug or its metabolite to the norepinephrine transporter. Additio"
13,Nilotinib,"Nilotinib, also known as AMN107, is a tyrosine kinase inhibitor under investigation as a possible treatment for chronic myelogenous leukemia (CML). A Phase I clinical trial in 2006 showed that this drug was relatively safe and offered significant therapeutic benefits in cases of CML which were found to be resistant to treatment with imatinib (Gleevec), another tyrosine kinase inhibitor used as a first-line treatment for CML. Chronic myelogenous leukaemia (CML) is caused by the BCR-ABL oncogene. Nilotinib inhibits the tyrosine kinase activity of the BCR-ABL protein. Nilotinib fits into the ATP-binding site of the BCR-ABL protein with higher affinity than imatinib, over-riding resistance caused by mutations. The ability of AMN107 to inhibit TEL-platelet-derived growth factor receptor-beta (TEL-PDGFRbeta), which causes c"
14,Ziprasidone,"Disorders such as schizophrenia and bipolar disorder can significantly impair mood, cognition, and behavior.[A190525] These mental illnesses can often be accompanied by comorbidities such as depression and substance abuse, and can significantly impact the quality of life of patients and caregivers.[A190525] Luckily, several treatment options for psychotic disorders have been introduced to market since the realization of chlorpromazine's antipsychotic properties in 1952.[A190525] 

Second generation antipsychotics (commonly referred to as atypical antipsychotics) include [clozapine], [quetiapine], [olanzapine], [aripiprazole] and [ziprasidone] among others, and are generally thought to be as efficacious as first generation antipsychotics but differ in their adverse effect profiles.[A19052 The effects of ziprasidone are differentiated from other antispychotics based on its preference and affinity for certain receptors. Ziprasidone binds to serotonin-2A (5-HT2A) and dopamine D2 receptors in a similar fashion to other atypical antipsychotics; however, one key difference is that ziprasidone has a higher 5-HT2A/D2 receptor affinity ratio when compared to other antipsychotics such as ola"
15,"1-BENZYL-4-[(5,6-DIMETHOXY-1-INDANON-2-YL)METHYL]PIPERIDINE","1-BENZYL-4-[(5,6-DIMETHOXY-1-INDANON-2-YL)METHYL]PIPERIDINE"
16,Donepezil,"In 2016, the global burden of dementia was estimated to be 43.8 million, demonstrating a significant increase from a global prevalence of 20.2 million in 1990.[A182411] Donepezil, also known as Aricept, is a piperidine derivative acetylcholinesterase inhibitor used in the management of the dementia of Alzheimer's Disease, and in some cases, is used to manage other types of dementia. 

Donepezil was first approved by the FDA in 1996, and its extended-release form was approved in combination with [Memantine] in 2014 to manage moderate and severe forms of Alzheimer's dementia.[L7916,L7937] A donepezil transdermal delivery system, Adlarity, was approved by the FDA in March 2022 for the treatment of Alzheimer's dementia.[L41125] Though it does not alter the progression of Alzheimer's disease, The commonly accepted cholinergic hypothesis[A182369] proposes that a portion of the cognitive and behavioral decline associated with Alzheimer's are the result of decreased cholinergic transmission in the central nervous system. Donepezil selectively and reversibly inhibits the acetylcholinesterase enzyme, which normally breaks down acetylcholine. The main pharmacological actions of this drug are"
17,Riluzole,"A glutamate antagonist (receptors, glutamate) used as an anticonvulsant (anticonvulsants) and to prolong the survival of patients with amyotrophic lateral sclerosis. Riluzole is marketed as Rilutek by Sanofi. The mode of action of riluzole is unknown. Its pharmacological properties include the following, some of which may be related to its effect: 1) an inhibitory effect on glutamate release (activation of glutamate reuptake), 2) inactivation of voltage-dependent sodium channels, and 3) ability to interfere with intracellular events that follow transmitter binding at excitatory amino acid receptors."
18,Lenalidomide,"Lenalidomide (previously referred to as CC-5013) is an immunomodulatory drug with potent antineoplastic, anti-angiogenic, and anti-inflammatory properties.[A228553] It is a 4-amino-glutamyl analogue of [thalidomide] [A228543] and like thalidomide, lenalidomide exists as a racemic mixture of the active S(-) and R(+) forms.[A228708] However, lenalidomide is much safer and potent than thalidomide, with fewer adverse effects and toxicities.[A714, A228543] Thalidomide and its analogues, including lenalidomide, are referred to as immunomodulatory imide drugs (also known as cereblon modulators), which are a class of immunomodulatory drugs that contain an imide group. Lenalidomide works through various mechanisms of actions that promote malignant cell death and enhance host immunity.[A228708] Avai Lenalidomide is a drug with multiple mechanisms of action. Lenalidomide exerts immunomodulating effects by altering cytokine production, regulating T cell co-stimulation, and enhancing the NK cell-mediated cytotoxicity.[A228543] Lenalidomide directly inhibits the cullin ring E3 ubiquitin ligase complex: upon binding to cereblon, a substrate adaptor of the complex, lenalidomide modulates substrate "
19,Mirtazapine,"Mirtazapine is a tetracyclic _piperazino-azepine_ antidepressant agent that was initially approved for the treatment of major depressive disorder (MDD) in the Netherlands in 1994.[A177946] This drug was first manufactured by Organon Inc., and received FDA approval in 1997 for the treatment of major depressive disorder.[T595, L6157] The effects of this drug may be observed as early as 1 week after beginning therapy.[A178144,L6160]

In addition to its beneficial effects in depression, mirtazapine has been reported to be efficacious in the off-label management of various other conditions.  It may improve the symptoms of neurological disorders, reverse weight loss caused by medical conditions, improve sleep, and prevent nausea and vomiting after surgery.[A177811] **Summary**

The mechanism of action of mirtazapine is not fully understood[FDA label] but may be explained by its effects on central adrenergic and serotonergic activity. This drug exhibits a fast onset of action, a high level of response, a manageable side-effect profile, and dual noradrenergic and serotonergic effects that are unique from the effects of other antidepressants.[A177811]

**Ef"
20,SCH-503034,SCH-503034
21,Duloxetine,"Duloxetine is a dual serotonin and norepinephrine reuptake inhibitor.[label] It was originally discovered in 1993 and developed by Eli Lilly and Company as LY248686.[A178741] Duloxetine first received approval from the FDA in August, 2004 as Cymbalta for the treatment of Major Depressive Disorder.[L6454] It has since received approval for a variety of indications including the treatment of neuropathic pain, Generalized Anxiety disorder, osteoarthritis, and stress incontinence. Duloxetine continues to be investigated for the treatment of pain in cancer, surgery, and more. Duloxetine is a potent inhibitor of neuronal serotonin and norepinephrine reuptake and a less potent inhibitor of dopamine reuptake.[A178714] Duloxetine has no significant affinity for dopaminergic, adrenergic, cholinergic, histaminergic, opioid, glutamate, and GABA receptors.

Action on the external urinary sphincter is mediated via duloxetine's CNS effects. Increased serotonin and norepinephri"
22,Boceprevir,"Boceprevir is a direct acting antiviral medication used as part of combination therapy to treat chronic Hepatitis C, an infectious liver disease caused by infection with Hepatitis C Virus (HCV). HCV is a single-stranded RNA virus that is categorized into nine distinct genotypes, with genotype 1 being the most common in the United States, and affecting 72% of all chronic HCV patients [L852]. Treatment options for chronic Hepatitis C have advanced significantly since 2011, with the development of Direct Acting Antivirals (DAAs) such as Boceprevir. Boceprevir is an inhibitor of NS3/4A, a serine protease enzyme, encoded by HCV genotypes 1 and 4 [synthesis]. These enzymes are essential for viral replication and serve to cleave the virally encoded polyprotein into mature proteins like NS4A, NS4B Boceprevir is a NS3/4a protease inhibitor used to inhibit viral HCV replication [FDA Label]. NS3/4a protease is an integral part of viral replication and mediates the cleavage the virally encoded polyprotein to mature proteins (NS4A, NS4B, NS5A and NS5B) [FDA Label]. Boceprevir covalently but reversibly binds the serine (S139) resiude in the active site via a (α)-ketoamide functional group. This i"
23,Zolpidem,"Zolpidem, also known as _Ambien_, is a hypnotic drug that was initially approved by the FDA in 1992 [FDA label].  Zolpidem improves sleep in patients with insomnia. It is aimed for use in patients with difficulties initiating sleep. This drug decreases the time to fall asleep (sleep latency), increases the duration of sleep, and decreases the number of awakenings during sleep in patients with temporary (transient) insomnia.  It is available in both immediate acting and extended release forms [FDA label], [F3802]. 

Its tolerability profile is favorable when administered according to the manufacturer’s instructions, with a low risk of drug withdrawal, drug dependence, and drug tolerance [A175426]. In addition, zolpidem improves sleep quality in patients suffering from chronic insomnia and Zolpidem, the active moiety of zolpidem tartrate, is a hypnotic substance with a chemical structure that is not related to the structure benzodiazepines, barbiturates, pyrrolopyrazines, pyrazolopyrimidines or other drugs exerting hypnotic effects. It interacts with a _GABA-BZ_ receptor complex and shares various pharmacological properties with the _benzodiazepine_ class of drugs [FDA label].

Su"
24,Ciprofloxacin,"Ciprofloxacin is a second generation fluoroquinolone that has spawned many derivative antibiotics.[A178870] It is formulated for oral, intravenous, intratympanic, ophthalmic, and otic administration for a number of bacterial infections.[L6469,L6472,L6475,L6478,L6481,L6484,L6487,L6490,L6493]

The first ciprofloxacin containing product was FDA approved on 22 October 1987.[L6463] Ciprofloxacin acts on bacterial topoisomerase II (DNA gyrase) and topoisomerase IV.[A178885] Ciprofloxacin's targeting of the alpha subunits of DNA gyrase prevents it from supercoiling the bacterial DNA which prevents DNA replication.[A178876,A178882]"
25,Bupropion,"Bupropion (also known as the brand name product Wellbutrin®) is a norepinephrine/dopamine-reuptake inhibitor (NDRI) used most commonly for the management of Major Depressive Disorder (MDD), Seasonal Affective Disorder (SAD), and as an aid for smoking cessation. Bupropion exerts its pharmacological effects by weakly inhibiting the enzymes involved in the uptake of the neurotransmitters norepinephrine and dopamine from the synaptic cleft, therefore prolonging their duration of action within the neuronal synapse and the downstream effects of these neurotransmitters. More specifically, bupropion binds to the norepinephrine transporter (NET) and the dopamine transporter (DAT).[A6399,A178810]

Bupropion was originally classified as an ""atypical"" antidepressant because it does not exert the sam Bupropion is a norepinephrine/dopamine-reuptake inhibitor (NDRI) that exerts its pharmacological effects by weakly inhibiting the enzymes involved in the uptake of the neurotransmitters norepinephrine and dopamine from the synaptic cleft, therefore prolonging their duration of action within the neuronal synapse and the downstream effects of these neurotransmitters. More specifically, bupropion bin"
26,99mTc-ciprofloxacin,"99mTc-Ciprofloxacin is a new formulation of ciprofloxacin (INFECTON), being investigated as a radioimaging agent for the potential diagnosis of infection, including fever of unknown origin, osteomyelitis, wound infection, abdominal abscess, pneumonia, appendicitis and tuberculosis. INFECTON combines the widely used antibiotic, ciprofloxacin, with Technetium ((99m)Tc), the most commonly used radioisotope in nuclear medical imaging There is currently controversy around the drug's ability to discriminate between sterile inflammation and bacterial versus nonbacterial infections. Ciprofloxacin is a fluoroquinolone antibiotic. The mechanism of action of these fluoroquinolones is not fully understood, but it has been postulated that the interaction of ciprofloxacin with bacterial DNA gyrase (a type II topoisomerase) prevents DNA uncoiling and subsequent DNA synthesis within  bacteria. Ciprofloxacin demonstrates a significant antibiotic effect for both gram-negative and gram-"
27,Zaleplon,"Zaleplon is a sedative/hypnotic, mainly used for insomnia. It is known as a nonbenzodiazepine hypnotic. Zaleplon interacts with the GABA receptor complex and shares some of the pharmacological properties of the benzodiazepines. Zaleplon is a schedule IV drug in the United States. Zaleplon exerts its action through subunit modulation of the GABA<sub>B</sub>Z receptor chloride channel macromolecular complex. Zaleplon also binds selectively to the brain omega-1 receptor located on the alpha subunit of the GABA-A/chloride ion channel receptor complex and potentiates t-butyl-bicyclophosphorothionate (TBPS) binding."
28,Mesalazine,"An anti-inflammatory agent, structurally related to the salicylates and non-steroidal anti-inflammatory drugs like acetylsalicylic acid, which is active in inflammatory bowel disease [A174022]. Although demonstrably effective in treating and maintaining remission for ulcerative colitis, mesalazine has historically faced a number of issues regarding its lack of stability as a pharmaceutical agent [A174019]. Throughout the late seventies and the eighties, important research initiatives developed stable mesalazine formulations like the eudragit-S coating of Asacol brand mesalazine and the Pentasa brand's encapsulation of mesalazine within microgranules [A174019]. In the present day, contemporary research regarding novel methods to stabilize mesalazine continues and interest in the agent's cap Although the mechanism of action of mesalazine is not fully understood, it is believed to possess a topical anti-inflammatory effect on colonic epithelial cells.[L36230] Mucosal production of arachidonic acid metabolites, both through the cyclooxygenase pathways, i.e., prostanoids, and through the lipoxygenase pathways, i.e., leukotrienes and hydroxyeicosatetraenoic acids, is increased in patients"
29,Varenicline,"Varenicline is a prescription medication used to treat smoking addiction. This medication is the first approved nicotinic receptor partial agonist. Specifically, varenicline is a partial agonist of the alpha4/beta2 subtype of the nicotinic acetylcholine receptor. In addition it acts on alpha3/beta4 and weakly on alpha3beta2 and alpha6-containing receptors. A full agonism was displayed on alpha7-receptors.

On March 9, 2015, the U.S. Food and Drug Administration warned that Varenicline, in the form of Pfizer Inc's quit-smoking drug, Chantix, has been associated with seizures and that some patients who drink while taking the drug may become aggressive or black out. Pfizer is conducting an additional safety study of the drug, results of which are  expected in late 2015. The FDA said it is k Varenicline is an alpha-4 beta-2 neuronal nicotinic acetylcholine receptor partial agonist. The drug shows high selectivity for this receptor subclass, relative to other nicotinic receptors (>500-fold alpha-3 beta-4, >3500-fold alpha-7, >20,000-fold alpha-1 beta gamma delta) or non-nicotinic receptors and transporters (>2000-fold). The drug competitively inhibits the ability of nicotine to bind to"
30,Sumatriptan,"Sumatriptan is a serotonin receptor agonist commonly used to treat migraines and sometimes cluster headaches.[L6793,L6796,L6799,L6805,L6808,L6811] Sumatriptan is the first of the triptans and was made available in Europe in 1991 to treat migraines.[A179761] Sumatriptan was granted FDA approval on 28 December 1992.[L6805] Sumatriptan is an agonist of 5-HT<sub>1B</sub> and 5-HT<sub>1D</sub>.[L6793,L6796,L6799,L6805,L6808,L6811] This agonism leads to constriction of cranial blood vessels and inhibits the release of pro-inflammatory neuropeptides.[L6793,L6796,L6799,L6805,L6808,L6811] Sumatriptan decreases carotid arterial blood flow, but increases blood flow velocity in the internal carotid artery and middle cerebral "
31,Memantine,"Initially approved by the FDA in 2013, memantine is an N-methyl-D-aspartate (NMDA) receptor antagonist used in the management of Alzheimer's Disease (AD).  It is different from many other Alzheimer's Disease medications, as it works by a different mechanism than the cholinesterase enzyme inhibitors normally employed in the management of Alzheimer's disease [A1639].  Memantine blocks the effects of glutamate, a neurotransmitter in the brain that leads to neuronal excitability and excessive stimulation in Alzheimer's Disease [T556].

In 2010, it was estimated that 36 million people worldwide live with Alzheimer's Disease. In 2013, this number increased to 44 million.  Almost doubling every 20 years, the prevalence of Alzheimer's Disease is predicted to reach 66 million by 2030 and to 115 m Continuous activation of the N-methyl-D-aspartate (NMDA) receptors in the central nervous system caused by _glutamate_ is thought to cause some of the Alzheimer's disease symptoms. This overactivation is thought to contribute to neurotoxicity due to the excitatory properties of glutamate [T556]. The pharmacological effect of memantine likely occurs via the drug's behavior as an uncompetitive (open"
32,Eletriptan,"Eletriptan is a second generation triptan drug developed by Pfizer Inc for the treatment of migraine headaches. Eletriptan binds with high affinity to 5-HT1B, 5-HT1D and 5-HT1F receptors, has modest affinity for 5-HT1A, 5-HT1E, 5-HT2B and 5-HT7 receptors, and little or no affinity for 5-HT2A, 5-HT2C, 5-HT3, 5-HT4, 5-HT5A and 5-HT6 receptors. In contrast, eletriptan displays insignificant pharmacological activity at adrenergic alpha1, alpha2, or beta; dopaminergic D1 or D2; muscarinic; or opioid receptors. W"
33,Diclofenac,"Diclofenac is a phenylacetic acid derivative and non-steroidal anti-inflammatory drug (NSAID).[label] NSAIDs inhibit cyclooxygenase (COX)-1 and-2 which are the enzyme responsible for producing prostaglandins (PGs). PGs contribute to inflammation and pain signalling. Diclofenac, like other NSAIDs, is often used as first line therapy for acute and chronic pain and inflammation from a variety of causes. Diclofenac was the product of rational drug design based on the structures of [phenylbutazone], [mefenamic acid], and [indomethacin].[A180796] The addition of two chlorine groups in the ortho position of the phenyl ring locks the ring in maximal torsion which appears to be related to increased potency. It is often used in combination with [misoprostol] to prevent NSAID-induced gastric ulcers.  Diclofenac inhibits cyclooxygenase-1 and -2, the enzymes responsible for production of prostaglandin (PG) G<sub>2</sub> which is the precursor to other PGs.[label,T116] These molecules have broad activity in pain and inflammation and the inhibition of their production is the common mechanism linking each effect of diclofenac.

PGE<sub>2</sub> is the primary PG involved in modulation of nocicepti"
34,Tolcapone,"Tolcapone is a drug that inhibits the enzyme catechol-O-methyl transferase (COMT). It is used in the treatment of Parkinson's disease as an adjunct to levodopa/carbidopa medication. It is a yellow, odorless, non-hygroscopic, crystalline compound. Tolcapone is associated with a risk of hepatotoxicity. The precise mechanism of action of tolcapone is unknown, but it is believed to be related to its ability to inhibit COMT and alter the plasma pharmacokinetics of levodopa, resulting in an increase in plasma levodopa concentrations. The inhibition of COMT also causes a reduction in circulating 3-OMD as a result of decreased peripheral metabolism of levodopa. This may lead to an increase distributio"
35,Phenytoin,"Phenytoin is classified as a hydantoin derivative and despite its narrow therapeutic index, it is one of the most commonly used anticonvulsants.[A33595,A188832,A189219] Since it's introduction about 80 years ago, phenytoin has not only been established as an effective anti-epileptic, but has also been investigated for several other indications such as bipolar disorder, retina protection, and wound healing.[A188826,A188832]

Clinicians are advised to initiate therapeutic drug monitoring in patients who require phenytoin since even small deviations from the recommended therapeutic range can lead to suboptimal treatment, or adverse effects.[A189219,A35884] Both parenteral and oral formulations of phenytoin are available on the market.[A189219] Although phenytoin first appeared in the literature in 1946, it has taken decades for the mechanism of action to be more specifically elucidated.[A188826] Although several scientists were convinced that phenytoin altered sodium permeability, it wasn’t until the 1980’s that this phenomenon was linked to voltage-gated sodium channels.[A188826] 

Phenytoin is often described as a non-specific sodiu"
36,Ifosfamide,"Ifosfamide is a chemotherapeutic agent chemically related to the nitrogen mustards and a synthetic analog of cyclophosphamide. It is active as an alkylating agent and an immunosuppressive agent. The exact mechanism of ifosfamide has not been determined, but appears to be similar to other alkylating agents. Ifosfamide requires biotransformation in the liver by mixed-function  oxidases (cytochrome P450 system) before it becomes active. After metabolic activation, active metabolites of ifosfamide alkylate or bind with many intracellular molecular structures, including nucleic acids. The cyto"
37,Dexmethylphenidate,"Dexmethylphenidate is the dextrorotary form of methylphenidate introduced in 2002[A177181]. It is a norepinephrine-dopamine reuptake inhibitor (NDRI) and thus a psychostimulant[A177193]. It is used for treatment of Attention Deficit Hyperactivity Disorder (ADHD)[Label,A177181]. The d-isomer is thought to have greater effect with fewer side effects than the l-isomer or the racemic mixture[A177181]. Methylphenidate inhibits dopamine and norepinephrine reuptake transporters in synapses, especially in the thalamus and striatum[A177193]. One study shows no detectable difference in the caudal prefrontal cortex of treated or untreated monkeys, though multiple rat studies show activity on the prefrontal cortex[A177193]. Imaging of human brains after administration of methylphenidate shows changes t"
