idx,se_name,se_text,benchmark_idx
36,anaemia macrocytic,"Anaemia macrocytic. Also known as: Anaemia macrocytic, Anemia macrocytic, Macrocytic anaemia NOS",215
37,anaemia megaloblastic,"Anaemia megaloblastic. Also known as: Anaemia megaloblastic, Anemia megaloblastic, Megaloblastic anaemia NOS",670
38,anal pruritus,"Anal pruritus. Also known as: Perianal itching, Pruritus ani, Pruritus ani aggravated",388
39,anaphylactic shock,"Anaphylactic shock. Also known as: Anaphylactic shock, Anaphylactic shock due to adverse food reaction, Anaphylactic shock due to crustaceans",594
40,anaphylactoid reaction,"Anaphylactoid reaction. Also known as: Anaphylactic type reaction, Anaphylactoid reaction, Delayed anaphylactoid reaction",333
41,aneurysm,"Aneurysm. Also known as: Aneurysm, Aneurysm of artery (excl aorta), Aneurysm of artery of neck",484
42,anger,"Anger. Also known as: Anger, Driven mad, Irascibility",356
43,angina pectoris,"Angina pectoris. Also known as: Angina, Angina aggravated, Angina attack",782
44,angioedema,"Angioedema. Also known as: Acute angio oedema, Angio-edema, Angio-oedema",888
45,angiopathy,"Angiopathy. Also known as: Degenerative and vascular disorders, unspecified, Disorder vascular, Vascular disorder",609
46,angle closure glaucoma,"Angle closure glaucoma. Also known as: Acute angle closure glaucoma, Acute angle-closure glaucoma, Anatomical narrow angle borderline glaucoma",156
47,anorectal discomfort,"Anorectal discomfort. Also known as: Anus discomfort, Burning rectal, Discomfort rectal",898
48,anorectal disorder,"Anorectal disorder. Also known as: Anal disorder NOS, Ano-rectal disorder NOS, Anorectal disorder",54
49,anorgasmia,"Anorgasmia. Also known as: Anorgasmia, Inability to orgasm",914
50,antisocial behaviour,"Antisocial behaviour. Also known as: Adolescent antisocial behaviour, Antisocial behaviour, Antisocial reaction",768
51,antisocial personality disorder,"Antisocial personality disorder. Also known as: Amoral personality, Antisocial personality, Antisocial personality disorder",495
52,anuria,"Anuria. Also known as: Anuria, Arrest of urinary output, Failure of urine formation",109
53,anxiety,"Anxiety. Also known as: Alarm (not alarm reaction), Angor animi, Anguish",116
54,apathy,"Apathy. Also known as: Ambition loss of, Apathy, Initiative loss of",498
55,aphasia,"Aphasia. Also known as: Anomia, Aphasia, Aphasia motor",567
56,aplasia pure red cell,"Aplasia pure red cell. Also known as: Aplasia pure red cell, Aplasia, pure red cell, Red cell aplasia",386
57,aplastic anaemia,"Aplastic anaemia. Also known as: Aleukia hemorrhagica, Anaemia aplastic, Anaemia aplastic aregenerative",240
58,apnoea,"Apnoea. Also known as: Apnea, Apnoea, Apneas",588
59,appendicitis,"Appendicitis. Also known as: Acute appendicitis, Acute appendicitis without mention of peritonitis, Appendicitis",256
60,application site burn,"Application site burn. Also known as: Application site burn, Application site thermal burn, Application site chemical burn",402
61,application site dryness,Application site dryness. Also known as: Application site dryness,570
62,application site erythema,"Application site erythema. Also known as: Application site erythema, Application site redness",654
63,application site irritation,Application site irritation. Also known as: Application site irritation,127
64,application site pain,"Application site pain. Also known as: Application site pain, Pain after application, Application site burning",452
65,application site paraesthesia,"Application site paraesthesia. Also known as: Application site paresthesia, Application site paraesthesia",194
66,application site pruritus,"Application site pruritus. Also known as: Application site itching, Application site pruritus",752
67,application site rash,Application site rash. Also known as: Application site rash,316
68,application site reaction,"Application site reaction. Also known as: Application site reaction, Application site reaction NOS, Reaction application site",547
69,application site vesicles,"Application site vesicles. Also known as: Application site vesicles, Application site bullae, Application site blister",807
70,apraxia,"Apraxia. Also known as: Apraxia, Constructional apraxia, Dressing apraxia",221
71,arrhythmia,"Arrhythmia. Also known as: Arrhythmia, Arrhythmia (NOS), Arrhythmia cardiac (NOS)",608
72,arrhythmia supraventricular,"Arrhythmia supraventricular. Also known as: Arrhythmia atrial, Arrhythmia atrial (NOS), Arrhythmia supraventricular",804
73,arteriosclerosis,"Arteriosclerosis. Also known as: Arteriosclerosis, Atherosclerosis, Atherosclerosis generalized",937
74,arthralgia,"Arthralgia. Also known as: Ache wrists, Aching (l) knee, Aching (r) knee",803
75,arthritis,"Arthritis. Also known as: Arthritis, Arthritis aggravated, Arthritis NOS",55
76,arthropathy,"Arthropathy. Also known as: Arthropathy unspecified, involving hand, Arthropathy, Arthropathy (NOS)",394
77,ascites,"Ascites. Also known as: Ascites, Ascites chylous, Chylous ascites",49
78,asocial behaviour,"Asocial behaviour. Also known as: Asocial behavior, Asocial behaviour, Asocial reaction",879
79,aspartate aminotransferase increased,"Aspartate aminotransferase increased. Also known as: Aspartate aminotransferase increase, Aspartate aminotransferase increased, AST increased",966
80,asthenia,"Asthenia. Also known as: Adynamia, Asthenia, Collapse of legs",22
81,asthenopia,"Asthenopia. Also known as: Asthenopia, Eye tired, Eyes heavy feeling of",154
82,asthma,"Asthma. Also known as: Allergic asthma, Asthma, Asthma aggravated",634
83,ataxia,"Ataxia. Also known as: Ataxia, Ataxia NEC, Ataxic",928
84,atelectasis,"Atelectasis. Also known as: Atelectasis, Lobar collapse, Partial atelectasis",565
85,atrial fibrillation,"Atrial fibrillation. Also known as: AF, AFib, Alcoholic atrial fibrillation",295
86,atrial flutter,"Atrial flutter. Also known as: Atrial flutter, Flutter atrial, Paroxysmal atrial flutter",600
87,atrioventricular block,"Atrioventricular block. Also known as: Atrioventricular block, Atrioventricular block (NOS), Atrioventricular block incomplete",718
88,atrioventricular block complete,"Atrioventricular block complete. Also known as: Atrioventricular block complete, Atrioventricular block, complete, AV block complete",16
89,atrioventricular block first degree,"Atrioventricular block first degree. Also known as: 1st degree heart block, Atrioventricular block first degree, Atrioventricular conduction time prolonged",468
90,autonomic nervous system imbalance,"Autonomic nervous system imbalance. Also known as: Autonomic imbalance, Autonomic nervous system imbalance, Dysautonomia",626
91,azotaemia,"Azotaemia. Also known as: Azotaemia, Azotemia, Azotemia of renal origin",794
92,back pain,"Back pain. Also known as: Acute back pain, Back ache, Back distress",729
93,bacteraemia,"Bacteraemia. Also known as: Bacteraemia, Bacteraemia, unspecified, Bacteremia",93
94,bacterial infection,"Bacterial infection. Also known as: Anaerobic bacterial infection NOS, Bacterial infection due to other anaerobes, Bacterial infection due to other gram-negative organisms",946
95,balance disorder,"Balance disorder. Also known as: Balance difficulty, Balance impaired NOS, Disequilibrium syndrome",174
96,basal cell carcinoma,"Basal cell carcinoma. Also known as: Basal cell carcinoma, Basal cell epithelioma, Carcinoma basal cell",75
97,benign neoplasm of skin,"Benign neoplasm of skin. Also known as: Benign neoplasm of ear and external auditory canal, Benign neoplasm of ear and external auricular canal, Benign neoplasm of other specified sites of skin",343
98,biliary colic,"Biliary colic. Also known as: Biliary colic, Biliary pain, Biliary spasm",617
99,bipolar disorder,"Bipolar disorder. Also known as: Bipolar affective disorder, Bipolar affective disorder aggr., Bipolar affective disorder aggravated",18
100,bipolar i disorder,"Bipolar I disorder. Also known as: Bipolar affective disorder, depressed, Bipolar affective disorder, depressed, in full remission, Bipolar affective disorder, depressed, in partial or unspecified remission",658
101,bladder cancer,"Bladder cancer. Also known as: Bladder cancer, Bladder cancer NOS, Bladder carcinoma",432
102,bladder pain,"Bladder pain. Also known as: Bladder cramps, Bladder pain, Cystalgia",890
103,bleeding time prolonged,"Bleeding time prolonged. Also known as: Bleeding time increased, Bleeding time prolonged, Haemostasis prolonged",761
104,blepharitis,"Blepharitis. Also known as: Blepharitis, Blepharitis, unspecified, Inflammation of eyelids",903
105,blepharospasm,"Blepharospasm. Also known as: Blepharospasm, Spasm eyelid, Eyelid twitching",406
106,blindness,"Blindness. Also known as: Better eye: moderate vision impairment; lesser eye: blind, not further specified, Better eye: moderate vision impairment; lesser eye: impairment not further specified, Better eye: moderate vision impairment; lesser eye: near-total vision impairment",238
107,blister,"Blister. Also known as: Blister, Blister of elbow, forearm, and wrist, without mention of infection, Blister of face, neck, and scalp except eye, without mention of infection",576
108,blood albumin decreased,"Blood albumin decreased. Also known as: Albumin decreased, Albumin low, Albumin serum plasma decreased",951
109,blood alkaline phosphatase increased,"Blood alkaline phosphatase increased. Also known as: Al-P increased, Alk phos raised, Alkaline phosphastase serum increase",478
110,blood bilirubin increased,"Blood bilirubin increased. Also known as: Bilirubin elevated, Bilirubin increased, Bilirubin total high",9
111,blood calcium decreased,"Blood calcium decreased. Also known as: Blood calcium decreased, Ca level lowered, Ca++ decreased",178
112,blood cholesterol increased,"Blood cholesterol increased. Also known as: Blood cholesterol increased, Cholesterol blood increased, Cholesterol high",393
113,blood creatine phosphokinase increased,"Blood creatine phosphokinase increased. Also known as: Blood creatine phosphokinase increased, CK increased, CPK increase",157
114,blood creatinine increased,"Blood creatinine increased. Also known as: Blood creatinine increased, Creatinine blood increased, Creatinine high",170
115,blood disorder,"Blood disorder. Also known as: Blood disorder NOS, Blood dyscrasia, Blood dyscrasia NOS",413
116,blood glucose decreased,"Blood glucose decreased. Also known as: Blood glucose decreased, Blood sugar decreased, Decreased blood sugar",315
117,blood glucose increased,"Blood glucose increased. Also known as: Blood glucose increased, Blood sugar increased, Fasting blood glucose level raised",496
118,blood lactate dehydrogenase increased,"Blood lactate dehydrogenase increased. Also known as: Blood lactate dehydrogenase increased, Dehydrogenase lactic blood urine increased, Lactate dehydrogenase increased",10
119,blood phosphorus decreased,"Blood phosphorus decreased. Also known as: Blood phosphate decreased, Phosphate decreased, Phosphate low",533
120,blood potassium decreased,"Blood potassium decreased. Also known as: Blood potassium decreased, K+ decreased, Plasma potassium decreased",828
121,blood potassium increased,"Blood potassium increased. Also known as: Blood potassium increased, Elevated K, K+ increased",219
122,blood pressure increased,"Blood pressure increased. Also known as: Arterial pressure high, Arterial pressure NOS increased, Blood pressure increased",894
123,blood prolactin increased,"Blood prolactin increased. Also known as: Blood prolactin increased, Increased prolactin level, Plasma prolactin increased",764
124,blood triglycerides increased,"Blood triglycerides increased. Also known as: Blood triglycerides increased, Plasma triglycerides increased, Raised TG",521
125,blood urea increased,"Blood urea increased. Also known as: Blood urea increased, Blood urea nitrogen increased, BUN increased",936
126,blood uric acid increased,"Blood uric acid increased. Also known as: Blood urates increased, Blood uric acid increased, Raised serum uric acid",351
127,blood urine present,"Blood urine present. Also known as: Blood in urine, Blood urine present",644
128,body temperature decreased,"Body temperature decreased. Also known as: Body temperature decrease, Body temperature decreased, Temperature body decrease",124
129,body temperature increased,"Body temperature increased. Also known as: Body temperature increased, Temperature elevation",618
130,bone disorder,"Bone disorder. Also known as: Bone and (jd) of back, pelvis, & lower limbs of mother, comp preg, c/birth, or the puerp, Bone and (jd) of back, pelvis, and lower limbs of mother, with delivery, with ment of postpart comp, Bone and joint disorders of back, pelvis, and lower limbs of mother, antepartum",735
131,bone pain,"Bone pain. Also known as: Bone pain, Bone pain aggravated, Bone swelling painful",809
132,bradycardia,"Bradycardia. Also known as: Bradycardia, Bradycardia NOS, Bradycardia NOS (excl fetal)",556
133,bradykinesia,"Bradykinesia. Also known as: Bradykinesia, Slow movement, Hypokinesia",139
134,brain oedema,"Brain oedema. Also known as: Brain edema, Cerebral edema, Cerebral oedema",210
135,breast cancer,"Breast cancer. Also known as: Breast adenocarcinoma, Breast cancer, Breast cancer NOS",476
136,breast discharge,"Breast discharge. Also known as: Breast discharge, Breast discharge female, Breast discharge male",628
137,breast disorder,"Breast disorder. Also known as: Breast disorder NOS, Other disorders of breast, Other signs and symptoms in breast",328
138,breast engorgement,"Breast engorgement. Also known as: Breast engorgement, Engorgement of breast associated with childbirth, antepartum, Engorgement of breast associated with childbirth, postpartum",357
139,breast enlargement,"Breast enlargement. Also known as: Breast enlargement, Breast enlargement female, Breast size increased",687
140,breast neoplasm,"Breast neoplasm. Also known as: Breast neoplasm, Breast neoplasm female, Breast neoplasm male",345
141,breast pain,"Breast pain. Also known as: Ache breast, Breast pain, Breast pain female",44
142,breast tenderness,"Breast tenderness. Also known as: Breast tenderness, Tenderness breast",158
143,breath odour,"Breath odour. Also known as: Bad breath, Breath odor, Breath odour",266
144,breath sounds abnormal,"Breath sounds abnormal. Also known as: Abnormal chest sounds, Abnormal chest sounds NOS, Breath sounds decreased",846
145,bronchial hyperreactivity,"Bronchial hyperreactivity. Also known as: Reactive airways disease, Bronchial hyperactivity, Hyperactive airway disease",666
146,bronchitis,"Bronchitis. Also known as: Acute bronchitis, Acute bronchitis and bronchiolitis, Acute exacerbation of chronic bronchitis",119
147,bronchospasm,"Bronchospasm. Also known as: Bronchial spasm, Bronchoconstriction, Bronchospasm",202
148,bronchospasm paradoxical,"Bronchospasm paradoxical. Also known as: Bronchospasm paradoxical, Paradoxical bronchospasm",542
149,bruxism,"Bruxism. Also known as: Bruxism, Bruxomania, Gnashing tooth",727
150,bundle branch block,"Bundle branch block. Also known as: Block bundle branch, Bundle branch block, Bundle branch block NOS",41
151,burning sensation,"Burning sensation. Also known as: Burning sensation, Burning sensation NOS, Extremities burning sensation of",86
152,bursitis,"Bursitis. Also known as: Achillobursitis, Bursal synovitis, Bursitis",368
153,cachexia,"Cachexia. Also known as: Cachexia, Emaciation, Wasting",457
154,candida infection,"Candida infection. Also known as: Candida NOS, Candidiasis, Candidiasis NOS",15
155,cardiac arrest,"Cardiac arrest. Also known as: Arrest cardiac, Asystole, Asystolia",113
156,cardiac disorder,"Cardiac disorder. Also known as: Cardiac disorder NOS, Disorder cardiac (NOS), Heart disease aggravated",806
157,cardiac failure,"Cardiac failure. Also known as: Cardiac failure, Cardiac failure (NOS), Cardiac failure aggravated",230
158,cardiac failure congestive,"Cardiac failure congestive. Also known as: Bi-ventricular failure, Cardiac failure congestive, Cardiac failure, congestive",758
159,cardiac flutter,"Cardiac flutter. Also known as: Heart fluttering, Cardiac flutter",584
160,cardiac murmur,"Cardiac murmur. Also known as: Cardiac murmur, Cardiac murmur NOS, Diastolic murmur",824
161,cardiac output decreased,Cardiac output decreased. Also known as: Cardiac output decreased,417
162,cardiogenic shock,"Cardiogenic shock. Also known as: Cardiogenic shock, Shock cardiogenic, Shock, Cardiogenic",623
163,cardiomegaly,"Cardiomegaly. Also known as: Cardiac dilatation, Cardiomegaly, Cardiomegaly (excl hypertensive)",5
164,cardiomyopathy,"Cardiomyopathy. Also known as: Cardiomyopathy, Cardiomyopathy in other diseases classified elsewhere, Cardiomyopathy NOS",224
165,cardiovascular disorder,"Cardiovascular disorder. Also known as: Cardiovascular disease, unspecified, Cardiovascular disorder, Cardiovascular disorder NOS",104
166,carpal tunnel syndrome,"Carpal tunnel syndrome. Also known as: Carpal tunnel syndrome, Carpel tunnel syndrome, Syndrome carpel tunnel",916
167,cataract,"Cataract. Also known as: Bilateral cataracts, Cataract, Cataract (left)",528
168,catheter site pain,"Catheter site pain. Also known as: Catheter site pain, Cannula site pain, Catheter site burning",932
169,cellulitis,"Cellulitis. Also known as: Cellulitis, Cellulitis and abscess of buttock, Cellulitis and abscess of face",534
170,cerebellar syndrome,"Cerebellar syndrome. Also known as: Cerebellar syndrome, Syndrome cerebellar, Neocerebellar syndrome",963
171,cerebral haemorrhage,"Cerebral haemorrhage. Also known as: Cerebral haemorrhage, Cerebral hemorrhage, Haemorrhage cerebral",163
172,cerebral infarction,"Cerebral infarction. Also known as: Cerebral infarct, Cerebral infarction, Iatrogenic cerebrovascular infarction",637
173,cerebral ischaemia,"Cerebral ischaemia. Also known as: Cerebral ischaemia, Cerebral ischemia, Ischemia cerebral",585
174,cerebrovascular accident,"Cerebrovascular accident. Also known as: Accident cerebrovascular, Apoplexy, Cerebrovascular accident",710
175,cerebrovascular disorder,"Cerebrovascular disorder. Also known as: Acute, but ill-defined, cerebrovascular disease, Cerebral vascular disturbance, Cerebral vascular disturbance (NOS)",723
176,cervix disorder,"Cervix disorder. Also known as: Cervical disorder NOS, Cervical lesion NOS, Cervix disorder",983
177,change of bowel habit,"Change of bowel habit. Also known as: Change in bowel habit NOS, Change in bowel habits, Change of bowel habit",132
178,cheilitis,"Cheilitis. Also known as: Cheilitis, Desquamative cheilitis, Rash lips",112
179,chest discomfort,"Chest discomfort. Also known as: Chest abnormal feeling of, Chest anxiety feeling of, Chest discomfort",899
180,chest pain,"Chest pain. Also known as: Ache across chest, Chest ache, Chest aching",143
181,chills,"Chills. Also known as: Chills, Rigor, Rigoring",832
182,cholecystitis,"Cholecystitis. Also known as: Acalculous cholecystitis, Calculus of gallbladder with other cholecystitis, Calculus of gallbladder with other cholecystitis, with obstruction",870
183,cholelithiasis,"Cholelithiasis. Also known as: Biliary sludge, Biliary stones, Calculus biliary",168
184,cholestasis,"Cholestasis. Also known as: Biliary stasis, Cholestasis, Cholestasis extrahepatic",564
185,choreoathetosis,"Choreoathetosis. Also known as: Choreoathetoid movements, Choreoathetosis, Hemichoreoathetosis",88
186,chromatopsia,"Chromatopsia. Also known as: Chromatopsia, Vision color tinged",159
187,chromaturia,"Chromaturia. Also known as: Chromaturia, Discoloration urine, Red urine",38
188,chronic obstructive pulmonary disease,"Chronic obstructive pulmonary disease. Also known as: Chronic airflow limitation, Chronic airway obstruction, not elsewhere classified, Chronic airways obstruction, not elsewhere classified",715
189,clostridium difficile colitis,"Clostridium difficile colitis. Also known as: C.difficile colitis, C.difficile diarrhea, C.difficile diarrhoea",200
190,coagulopathy,"Coagulopathy. Also known as: Clotting, Coagulation abnormal, Coagulation defects",730
191,cognitive disorder,"Cognitive disorder. Also known as: Cognitive deterioration, Cognitive disorder NEC, Cognitive disturbance",771
192,cold sweat,"Cold sweat. Also known as: Clamminess, Clammy, Cold sweat",447
193,colitis,"Colitis. Also known as: Caecal inflammation, Caecitis, Cecitis",115
194,colitis ischaemic,"Colitis ischaemic. Also known as: Acute ischemic colitis, Colitis ischaemic, Colitis ischemic",208
195,colitis ulcerative,"Colitis ulcerative. Also known as: Colitis ulcerative, Colitis ulcerative aggravated, Enteritis ulcerative",21
196,coma,"Coma. Also known as: Coma, Coma (non-diabetic), Coma and stupor",398
197,completed suicide,"Completed suicide. Also known as: Accomplished suicide, Completed suicide, Suicide",84
198,conduction disorder,"Conduction disorder. Also known as: Conduction delayed transient, Conduction disorder, Conduction disorder NOS",475
199,confusional state,"Confusional state. Also known as: Acute confusion state, Acute confusional state, Acute onset of confusion",322
200,congenital eye disorder,"Congenital eye disorder. Also known as: Congenital anomalies of eye, Congenital anomalies of eyelids, lacrimal system, and orbit, Congenital deformity of eye",887
201,conjunctival haemorrhage,"Conjunctival haemorrhage. Also known as: Conjunctiva hemorrhage, Conjunctival bleeding, Conjunctival ecchymosis",354
202,conjunctival hyperaemia,"Conjunctival hyperaemia. Also known as: Bulbar conjunctiva hyperemia, Congestion conjunctival, Conjunctival congestion",959
203,conjunctival oedema,"Conjunctival oedema. Also known as: Chemosis, Conjunctival edema, Conjunctival oedema",962
204,conjunctivitis,"Conjunctivitis. Also known as: Acute conjunctivitis, Acute conjunctivitis, unspecified, Acute follicular conjunctivitis",517
205,conjunctivitis allergic,"Conjunctivitis allergic. Also known as: Acute atopic conjunctivitis, Allergic conjunctivitis, Allergic rhinoconjunctivitis",990
206,connective tissue disorder,"Connective tissue disorder. Also known as: Connective tissue disorder NOS, Diffuse diseases of connective tissue, Other specified diffuse diseases of connective tissue",191
207,constipation,"Constipation. Also known as: Constipation, Constipation (excl faecal impaction), Iatrogenic constipation",85
208,contusion,"Contusion. Also known as: Bruise, Bruise of head, Bruising",891
209,conversion disorder,"Conversion disorder. Also known as: Conversion disorder, Conversion hysteria, Conversion neurosis",147
210,coordination abnormal,"Coordination abnormal. Also known as: Asynergia, Coordination abnormal, Coordination abnormal NOS",129
211,corneal erosion,"Corneal erosion. Also known as: Corneal erosion, Corneal erosion multiple",632
212,corneal lesion,"Corneal lesion. Also known as: Corneal lesion, Corneal lesion NOS, Lesion corneal",32
213,corneal opacity,"Corneal opacity. Also known as: Central opacity of cornea, Corneal cataract, Corneal epithelium opacity",262
214,coronary artery disease,"Coronary artery disease. Also known as: CAD, Coronary artery disease, Coronary artery disease NOS",671
215,cough,"Cough. Also known as: Cough, Cough increased, Cough nonproductive",339
216,crohn's disease,"Crohn's disease. Also known as: Crohn's, Crohn's aggravated, Crohn's colitis",198
217,crying,"Crying. Also known as: Crying, Crying abnormal, Crying uncontrollable",677
218,cushing's syndrome,"Cushing's syndrome. Also known as: Cushing's syndrome, Cushings syndrome, Syndrome Cushing's",745
219,cyanosis,"Cyanosis. Also known as: Acrocyanosis, Blue lips, Cyanosed",253
220,cyst,"Cyst. Also known as: Cyst, Cyst NOS, Oil cyst",283
221,cystitis,"Cystitis. Also known as: Acute cystitis, Acute cystitis (excl in pregnancy), Bladder infection",420
222,cystitis haemorrhagic,"Cystitis haemorrhagic. Also known as: Cystitis haemorrhagic, Cystitis hemorrhagic, Hemorrhagic cystitis",226
223,cystitis noninfective,"Cystitis noninfective. Also known as: Cystitis granulomatous, Cystitis noninfective, Bladder inflammation",778
224,deafness,"Deafness. Also known as: Deaf, Deafness, Deafness NOS",707
225,decreased appetite,"Decreased appetite. Also known as: Anorexia, Anorexic, Appetite absent",24
226,deep vein thrombosis,"Deep vein thrombosis. Also known as: Deep phlebothrombosis, antepartum, unspecified as to episode of care, Deep phlebothrombosis, antepartum, with delivery, Deep phlebothrombosis, postpartum, unspecified as to episode of care",979
227,dehydration,"Dehydration. Also known as: Dehydration, Fluid loss, Hypotonic dehydration",441
228,delirium,"Delirium. Also known as: Acute brain syndrome, Acute delirium, Brain syndrome acute",435
229,delusion,"Delusion. Also known as: Deluded, Delusion, Delusion NOS",923
230,dementia,"Dementia. Also known as: Amentia, Brain failure, chronic, Brain syndrome chronic",854
231,dental caries,"Dental caries. Also known as: Caries dental, Cavity, Cavity NOS",656
232,depressed level of consciousness,"Depressed level of consciousness. Also known as: Arousal difficult, Central nervous system depression NOS, CNS depression",73
233,depressed mood,"Depressed mood. Also known as: Chronic depressive mood, Dejection emotional, Depressed mood",667
234,depression,"Depression. Also known as: Anxiety depression, Anxious depression, Atypical depressive disorder",756
235,derealisation,"Derealisation. Also known as: Derealisation, Feeling unreal, Derealization",938
236,dermatitis,"Dermatitis. Also known as: Acrodermatitis, Dermatitic reaction of face, Dermatitic reaction of neck",137
237,dermatitis acneiform,"Dermatitis acneiform. Also known as: Acneiform dermatitis, Dermatitis acneiform, Dermatitis acniform",442
238,dermatitis atopic,"Dermatitis atopic. Also known as: Atopic dermatitis, Atopic dermatitis and related conditions, Atopic eczema",149
239,dermatitis bullous,"Dermatitis bullous. Also known as: Bulla auricular, Bulla dorsum manus, Bullous dermatitis",444
240,dermatitis contact,"Dermatitis contact. Also known as: Acne detergicans, Adhesive plaster sensitivity, Allergy to lanolin",613
241,dermatitis exfoliative,"Dermatitis exfoliative. Also known as: Dermatitis exfoliative, Dermatitis exfoliative NOS, Exfoliative dermatitis",755
242,diabetes mellitus,"Diabetes mellitus. Also known as: Diabetes, Diabetes mellitus, Diabetes mellitus aggravated",387
243,diarrhoea,"Diarrhoea. Also known as: Acute diarrhea, Antibiotic-associated diarrhea, Diarrhea",274
244,diarrhoea haemorrhagic,"Diarrhoea haemorrhagic. Also known as: Bloody diarrhea, Diarrhea bloody, Diarrhoea bloody",563
245,diplopia,"Diplopia. Also known as: Diplopia, Double vision, Vision double",213
246,discomfort,"Discomfort. Also known as: Discomfort, Discomfort bodily, Discomfort NOS",797
247,disorientation,"Disorientation. Also known as: Disorientated, Disorientation, Nocturnal disorientation",8
248,disseminated intravascular coagulation,"Disseminated intravascular coagulation. Also known as: Consumption coagulopathy, Consumptive coagulopathy, Defibrination syndrome",76
249,disturbance in attention,"Disturbance in attention. Also known as: Attention concentration difficulty, Attention impaired, Attentiveness decreased",133
250,disturbance in sexual arousal,"Disturbance in sexual arousal. Also known as: Disturbance in arousal NOS, Increased sexual arousal, Sexual arousal decreased",724
251,diverticulitis,"Diverticulitis. Also known as: Chronic diverticulitis, Diverticulitis, Diverticulitis intestinal",397
252,dizziness,"Dizziness. Also known as: Dizziness, Dizziness (excl vertigo), Dizziness and giddiness",624
253,dizziness postural,"Dizziness postural. Also known as: Dizziness on standing up, Dizziness postural, Dizziness upon standing",815
