idx,umls_cui,se_name,benchmark_idx,resolution_status,evidence
139,C2225524,breast enlargement,687,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
140,C1458155,breast neoplasm,345,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
141,C0024902,breast pain,44,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
142,C0262397,breast tenderness,158,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
143,C0018520,breath odour,266,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
144,C0231856,breath sounds abnormal,846,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
145,C0085129,bronchial hyperreactivity,666,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
146,C0006277,bronchitis,119,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
147,C0006266,bronchospasm,202,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
148,C0236072,bronchospasm paradoxical,542,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
149,C0006325,bruxism,727,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
150,C0006384,bundle branch block,41,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
151,C0085624,burning sensation,86,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
152,C0006444,bursitis,368,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
153,C0006625,cachexia,457,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
154,C0006840,candida infection,15,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
155,C0018790,cardiac arrest,113,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
156,C0018799,cardiac disorder,806,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
157,C0018801,cardiac failure,230,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
158,C0018802,cardiac failure congestive,758,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
159,C0016385,cardiac flutter,584,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
160,C0018808,cardiac murmur,824,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
161,C0007166,cardiac output decreased,417,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
162,C0036980,cardiogenic shock,623,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
163,C0018800,cardiomegaly,5,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
164,C0878544,cardiomyopathy,224,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
165,C0007222,cardiovascular disorder,104,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
166,C0007286,carpal tunnel syndrome,916,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
167,C0086543,cataract,528,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
168,C0949103,catheter site pain,932,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
169,C0007642,cellulitis,534,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
170,C0007760,cerebellar syndrome,963,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
171,C2937358,cerebral haemorrhage,163,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
172,C0007785,cerebral infarction,637,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
173,C0917798,cerebral ischaemia,585,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
174,C0038454,cerebrovascular accident,710,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
175,C0007820,cerebrovascular disorder,723,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
176,C0007867,cervix disorder,983,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
177,C0278008,change of bowel habit,132,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
178,C0007971,cheilitis,112,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
179,C0235710,chest discomfort,899,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
180,C0008031,chest pain,143,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
181,C0085593,chills,832,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
182,C0008325,cholecystitis,870,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
183,C0008350,cholelithiasis,168,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
184,C0008370,cholestasis,564,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
185,C0085583,choreoathetosis,88,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
186,C0474381,chromatopsia,159,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
187,C0541832,chromaturia,38,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
188,C0024117,chronic obstructive pulmonary disease,715,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
189,C0238106,clostridium difficile colitis,200,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
190,C0005779,coagulopathy,730,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
191,C0009241,cognitive disorder,771,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
192,C0232431,cold sweat,447,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
193,C0009319,colitis,115,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
194,C0162529,colitis ischaemic,208,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
195,C0009324,colitis ulcerative,21,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
196,C0009421,coma,398,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
197,C0852733,completed suicide,84,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
198,C0264886,conduction disorder,475,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
199,C0009676,confusional state,322,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
200,C0015393,congenital eye disorder,887,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
201,C0009760,conjunctival haemorrhage,354,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
202,C1761613,conjunctival hyperaemia,959,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
203,C0151601,conjunctival oedema,962,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
204,C0009763,conjunctivitis,517,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
205,C0009766,conjunctivitis allergic,990,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
206,C0009782,connective tissue disorder,191,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
207,C0009806,constipation,85,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
208,C0009938,contusion,891,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
209,C0009946,conversion disorder,147,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
210,C0520966,coordination abnormal,129,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
211,C0392163,corneal erosion,632,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
212,C0151571,corneal lesion,32,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
213,C0010038,corneal opacity,262,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
214,C1956346,coronary artery disease,671,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
215,C0010200,cough,339,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
216,C0010346,crohn's disease,198,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
217,C0010399,crying,677,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
218,C0010481,cushing's syndrome,745,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
219,C0010520,cyanosis,253,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
220,C0010709,cyst,283,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
221,C0010692,cystitis,420,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
222,C0085692,cystitis haemorrhagic,226,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
223,C0403632,cystitis noninfective,778,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
224,C0011053,deafness,707,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
225,C0232462,decreased appetite,24,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
226,C0149871,deep vein thrombosis,979,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
227,C0011175,dehydration,441,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
228,C0011206,delirium,435,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
229,C0011253,delusion,923,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
230,C0497327,dementia,854,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
231,C0011334,dental caries,656,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
232,C0549249,depressed level of consciousness,73,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
233,C0344315,depressed mood,667,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
234,C0011570,depression,756,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
235,C0233754,derealisation,938,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
236,C0011603,dermatitis,137,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
237,C0234894,dermatitis acneiform,442,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
238,C0011615,dermatitis atopic,149,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
239,C0085932,dermatitis bullous,444,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
240,C0011616,dermatitis contact,613,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
241,C0011606,dermatitis exfoliative,755,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
242,C0011849,diabetes mellitus,387,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
243,C0011991,diarrhoea,274,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
244,C0151594,diarrhoea haemorrhagic,563,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
245,C0012569,diplopia,213,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
246,C0234215,discomfort,797,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
247,C0233407,disorientation,8,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
248,C0012739,disseminated intravascular coagulation,76,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
249,C0233414,disturbance in attention,133,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
250,C0855242,disturbance in sexual arousal,724,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
251,C0012813,diverticulitis,397,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
252,C0012833,dizziness,624,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
253,C0234987,dizziness postural,815,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
254,C0011609,drug eruption,323,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
255,C0013182,drug hypersensitivity,739,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
256,C0852908,drug ineffective,885,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
257,C0314719,dry eye,136,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
258,C0043352,dry mouth,708,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
259,C0151908,dry skin,67,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
260,C0235234,dry throat,551,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
261,C0013295,duodenal ulcer,830,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
262,C0013298,duodenitis,279,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
263,C0392699,dysaesthesia,827,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
264,C0013362,dysarthria,636,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
265,C0013378,dysgeusia,483,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
266,C0013384,dyskinesia,107,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
267,C0013390,dysmenorrhoea,485,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
268,C1384606,dyspareunia,201,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
269,C0013395,dyspepsia,881,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
270,C0011168,dysphagia,640,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
271,C1527344,dysphonia,737,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
272,C0233477,dysphoria,324,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
273,C0013404,dyspnoea,300,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
274,C0231807,dyspnoea exertional,941,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
275,C0013428,dysuria,906,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
276,C0013447,ear disorder,341,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
277,C0699744,ear infection,599,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
278,C0013456,ear pain,429,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
279,C0013491,ecchymosis,232,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
280,C0013595,eczema,661,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
281,C0234047,ejaculation delayed,358,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
282,C0235969,ejaculation disorder,190,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
283,C0278106,ejaculation failure,114,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
284,C0522055,electrocardiogram abnormal,477,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
285,C0151878,electrocardiogram qt prolonged,949,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
286,C0520887,electrocardiogram st segment depression,153,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
287,C0151611,electroencephalogram abnormal,276,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
288,C0342579,electrolyte imbalance,805,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
289,C0013922,embolism,503,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
290,C0340726,embolism venous,535,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
291,C0233459,emotional disorder,843,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
292,C0034067,emphysema,89,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
293,C0085584,encephalopathy,151,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
294,C0014130,endocrine disorder,241,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
295,C0151622,endometrial disorder,222,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
296,C0014236,endophthalmitis,142,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
297,C0014335,enteritis,422,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
298,C0014356,enterocolitis,904,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
299,C0014394,enuresis,682,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
300,C0014457,eosinophilia,270,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
301,C0014534,epididymitis,287,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
302,C1291078,epigastric discomfort,863,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
