idx,drugbank_id,drug_name,benchmark_idx,matched_name,resolution_status,evidence
22,DB00136,calcitriol,541,Calcitriol,resolved_by_frequency_matrix,Exact row match after SE-column alignment
23,DB00175,pravastatin,226,Pravastatin,resolved_by_frequency_matrix,Exact row match after SE-column alignment
24,DB00176,fluvoxamine,271,Fluvoxamine,resolved_by_frequency_matrix,Exact row match after SE-column alignment
25,DB00177,valsartan,318,Valsartan,resolved_by_frequency_matrix,Exact row match after SE-column alignment
26,DB00178,ramipril,582,Ramipril,resolved_by_frequency_matrix,Exact row match after SE-column alignment
27,DB00180,flunisolide,192,Flunisolide,resolved_by_frequency_matrix,Exact row match after SE-column alignment
28,DB00181,baclofen,428,Baclofen,resolved_by_frequency_matrix,Exact row match after SE-column alignment
29,DB00184,nicotine,314,Nicotine,resolved_by_frequency_matrix,Exact row match after SE-column alignment
30,DB00185,cevimeline,232,Cevimeline,resolved_by_frequency_matrix,Exact row match after SE-column alignment
31,DB00186,lorazepam,537,Lorazepam,resolved_by_frequency_matrix,Exact row match after SE-column alignment
32,DB00187,esmolol,346,Esmolol,resolved_by_frequency_matrix,Exact row match after SE-column alignment
33,DB00188,bortezomib,737,Bortezomib,resolved_by_frequency_matrix,Exact row match after SE-column alignment
34,DB00193,tramadol,575,Tramadol,resolved_by_frequency_matrix,Exact row match after SE-column alignment
35,DB00195,betaxolol,492,Betaxolol,resolved_by_frequency_matrix,Exact row match after SE-column alignment
36,DB00196,fluconazole,692,Fluconazole,resolved_by_frequency_matrix,Exact row match after SE-column alignment
37,DB00198,oseltamivir,370,Oseltamivir,resolved_by_frequency_matrix,Exact row match after SE-column alignment
38,DB00201,caffeine,260,Caffeine,resolved_by_frequency_matrix,Exact row match after SE-column alignment
39,DB00203,sildenafil,451,Sildenafil,resolved_by_frequency_matrix,Exact row match after SE-column alignment
40,DB00204,dofetilide,510,Dofetilide,resolved_by_frequency_matrix,Exact row match after SE-column alignment
41,DB00207,azithromycin,351,Azithromycin,resolved_by_frequency_matrix,Exact row match after SE-column alignment
42,DB00209,trospium,478,Trospium,resolved_by_frequency_matrix,Exact row match after SE-column alignment
43,DB00210,adapalene,646,Adapalene,resolved_by_frequency_matrix,Exact row match after SE-column alignment
44,DB00211,midodrine,182,Midodrine,resolved_by_frequency_matrix,Exact row match after SE-column alignment
45,DB00213,pantoprazole,665,Pantoprazole,resolved_by_frequency_matrix,Exact row match after SE-column alignment
46,DB00214,torasemide,118,Torasemide,resolved_by_frequency_matrix,Exact row match after SE-column alignment
47,DB00215,citalopram,336,Citalopram,resolved_by_frequency_matrix,Exact row match after SE-column alignment
48,DB00216,eletriptan,466,Eletriptan,resolved_by_frequency_matrix,Exact row match after SE-column alignment
49,DB00218,moxifloxacin,101,Moxifloxacin,resolved_by_frequency_matrix,Exact row match after SE-column alignment
50,DB00220,nelfinavir,332,Nelfinavir,resolved_by_frequency_matrix,Exact row match after SE-column alignment
51,DB00222,glimepiride,285,Glimepiride,resolved_by_frequency_matrix,Exact row match after SE-column alignment
52,DB00224,indinavir,633,Indinavir,resolved_by_frequency_matrix,Exact row match after SE-column alignment
53,DB00227,lovastatin,281,Lovastatin,resolved_by_frequency_matrix,Exact row match after SE-column alignment
54,DB00230,pregabalin,560,Pregabalin,resolved_by_frequency_matrix,Exact row match after SE-column alignment
55,DB00231,temazepam,280,Temazepam,resolved_by_frequency_matrix,Exact row match after SE-column alignment
56,DB00234,reboxetine,95,Reboxetine,resolved_by_frequency_matrix,Exact row match after SE-column alignment
57,DB00238,nevirapine,616,Nevirapine,resolved_by_frequency_matrix,Exact row match after SE-column alignment
58,DB00242,cladribine,120,Cladribine,resolved_by_frequency_matrix,Exact row match after SE-column alignment
59,DB00243,ranolazine,621,Ranolazine,resolved_by_frequency_matrix,Exact row match after SE-column alignment
60,DB00244,mesalazine,605,Mesalazine,resolved_by_frequency_matrix,Exact row match after SE-column alignment
61,DB00246,ziprasidone,367,Ziprasidone,resolved_by_frequency_matrix,Exact row match after SE-column alignment
62,DB00248,cabergoline,82,Cabergoline,resolved_by_frequency_matrix,Exact row match after SE-column alignment
63,DB00250,dapsone,349,Dapsone,resolved_by_frequency_matrix,Exact row match after SE-column alignment
64,DB00251,terconazole,24,Terconazole,resolved_by_frequency_matrix,Exact row match after SE-column alignment
65,DB00252,phenytoin,94,Phenytoin,resolved_by_auxiliary_features,DrugBank targets + MSSF drug_target: row 65 has many targets; phenytoin has many targets
66,DB00254,doxycycline,60,Doxycycline,resolved_by_frequency_matrix,Exact row match after SE-column alignment
67,DB00261,anagrelide,151,Anagrelide,resolved_by_frequency_matrix,Exact row match after SE-column alignment
68,DB00262,carmustine,431,Carmustine,resolved_by_frequency_matrix,Exact row match after SE-column alignment
69,DB00264,metoprolol,197,Metoprolol,resolved_by_frequency_matrix,Exact row match after SE-column alignment
70,DB00268,ropinirole,681,Ropinirole,resolved_by_frequency_matrix,Exact row match after SE-column alignment
71,DB00270,isradipine,163,Isradipine,resolved_by_frequency_matrix,Exact row match after SE-column alignment
72,DB00273,topiramate,378,Topiramate,resolved_by_frequency_matrix,Exact row match after SE-column alignment
73,DB00275,olmesartan medoxomil,396,Olmesartan,resolved_by_frequency_matrix,Exact row match after SE-column alignment
74,DB00276,amsacrine,339,Amsacrine,resolved_by_frequency_matrix,Exact row match after SE-column alignment
75,DB00277,theophylline,222,Theophylline,resolved_by_frequency_matrix,Exact row match after SE-column alignment
76,DB00278,argatroban,417,Argatroban,resolved_by_frequency_matrix,Exact row match after SE-column alignment
77,DB00281,lidocaine,376,Lidocaine,resolved_by_frequency_matrix,Exact row match after SE-column alignment
78,DB00282,pamidronic acid,666,Pamidronic acid,resolved_by_frequency_matrix,Exact row match after SE-column alignment
79,DB00285,venlafaxine,304,Venlafaxine,resolved_by_frequency_matrix,Exact row match after SE-column alignment
80,DB00286,conjugated estrogens,745,Conjugated estrogens,resolved_by_frequency_matrix,Exact row match after SE-column alignment
81,DB00287,travoprost,308,Travoprost,resolved_by_frequency_matrix,Exact row match after SE-column alignment
82,DB00289,atomoxetine,676,Atomoxetine,resolved_by_frequency_matrix,Exact row match after SE-column alignment
83,DB00290,bleomycin,504,Bleomycin,resolved_by_frequency_matrix,Exact row match after SE-column alignment
84,DB00291,chlorambucil,270,Chlorambucil,resolved_by_frequency_matrix,Exact row match after SE-column alignment
85,DB00293,raltitrexed,207,Raltitrexed,resolved_by_frequency_matrix,Exact row match after SE-column alignment
86,DB00294,etonogestrel,404,Etonogestrel,resolved_by_frequency_matrix,Exact row match after SE-column alignment
87,DB00295,morphine,750,Morphine,resolved_by_frequency_matrix,Exact row match after SE-column alignment
88,DB00296,ropivacaine,456,Ropivacaine,resolved_by_frequency_matrix,Exact row match after SE-column alignment
89,DB00297,bupivacaine,720,Bupivacaine,resolved_by_frequency_matrix,Exact row match after SE-column alignment
90,DB00299,penciclovir,47,Penciclovir,resolved_by_frequency_matrix,Exact row match after SE-column alignment
91,DB00300,tenofovir disoproxil,237,Tenofovir disoproxil,resolved_by_frequency_matrix,Exact row match after SE-column alignment
92,DB00301,flucloxacillin,509,Flucloxacillin,resolved_by_frequency_matrix,Exact row match after SE-column alignment
93,DB00302,tranexamic acid,753,Tranexamic acid,resolved_by_frequency_matrix,Exact row match after SE-column alignment
94,DB00303,ertapenem,62,Ertapenem,resolved_by_frequency_matrix,Exact row match after SE-column alignment
95,DB00307,bexarotene,283,Bexarotene,resolved_by_frequency_matrix,Exact row match after SE-column alignment
96,DB00308,ibutilide,671,Ibutilide,resolved_by_frequency_matrix,Exact row match after SE-column alignment
97,DB00310,chlortalidone,106,Chlorthalidone,resolved_by_frequency_matrix,Exact row match after SE-column alignment
98,DB00313,valproic acid,472,Valproic acid,resolved_by_frequency_matrix,Exact row match after SE-column alignment
99,DB00315,zolmitriptan,369,Zolmitriptan,resolved_by_frequency_matrix,Exact row match after SE-column alignment
100,DB00316,paracetamol,742,Acetaminophen,resolved_by_frequency_matrix,Exact row match after SE-column alignment
101,DB00317,gefitinib,238,Gefitinib,resolved_by_frequency_matrix,Exact row match after SE-column alignment
102,DB00319,piperacillin,664,Piperacillin,resolved_by_frequency_matrix,Exact row match after SE-column alignment
103,DB00320,dihydroergotamine,279,Dihydroergotamine,resolved_by_frequency_matrix,Exact row match after SE-column alignment
104,DB00323,tolcapone,105,Tolcapone,resolved_by_frequency_matrix,Exact row match after SE-column alignment
105,DB00327,hydromorphone,602,Hydromorphone,resolved_by_frequency_matrix,Exact row match after SE-column alignment
106,DB00328,indometacin,168,Indomethacin,resolved_by_frequency_matrix,Exact row match after SE-column alignment
107,DB00331,metformin,356,Metformin,resolved_by_frequency_matrix,Exact row match after SE-column alignment
108,DB00332,ipratropium bromide,55,Ipratropium bromide,resolved_by_frequency_matrix,Exact row match after SE-column alignment
109,DB00334,olanzapine,570,Olanzapine,resolved_by_frequency_matrix,Exact row match after SE-column alignment
110,DB00335,atenolol,667,Atenolol,resolved_by_frequency_matrix,Exact row match after SE-column alignment
111,DB00337,pimecrolimus,269,Pimecrolimus,resolved_by_frequency_matrix,Exact row match after SE-column alignment
112,DB00338,omeprazole,513,Omeprazole,resolved_by_frequency_matrix,Exact row match after SE-column alignment
113,DB00341,cetirizine,79,Cetirizine,resolved_by_frequency_matrix,Exact row match after SE-column alignment
114,DB00343,diltiazem,408,Diltiazem,resolved_by_frequency_matrix,Exact row match after SE-column alignment
115,DB00346,alfuzosin,264,Alfuzosin,resolved_by_frequency_matrix,Exact row match after SE-column alignment
116,DB00348,nitisinone,694,Nitisinone,resolved_by_frequency_matrix,Exact row match after SE-column alignment
117,DB00349,clobazam,728,Clobazam,resolved_by_frequency_matrix,Exact row match after SE-column alignment
118,DB19378,megestrol,704,Megestrol,resolved_by_frequency_matrix,Exact row match after SE-column alignment
119,DB00355,aztreonam,374,Aztreonam,resolved_by_frequency_matrix,Exact row match after SE-column alignment
120,DB00360,sapropterin,526,Sapropterin,resolved_by_frequency_matrix,Exact row match after SE-column alignment
121,DB00361,vinorelbine,347,Vinorelbine,resolved_by_frequency_matrix,Exact row match after SE-column alignment
122,DB00362,anidulafungin,706,Anidulafungin,resolved_by_frequency_matrix,Exact row match after SE-column alignment
123,DB00363,clozapine,746,Clozapine,resolved_by_frequency_matrix,Exact row match after SE-column alignment
124,DB00367,levonorgestrel,453,Levonorgestrel,resolved_by_frequency_matrix,Exact row match after SE-column alignment
125,DB00369,cidofovir,740,Cidofovir,resolved_by_frequency_matrix,Exact row match after SE-column alignment
126,DB00370,mirtazapine,535,Mirtazapine,resolved_by_frequency_matrix,Exact row match after SE-column alignment
127,DB00373,timolol,517,Timolol,resolved_by_frequency_matrix,Exact row match after SE-column alignment
128,DB00374,treprostinil,443,Treprostinil,resolved_by_frequency_matrix,Exact row match after SE-column alignment
129,DB00377,palonosetron,253,Palonosetron,resolved_by_frequency_matrix,Exact row match after SE-column alignment
130,DB00379,mexiletine,200,Mexiletine,resolved_by_frequency_matrix,Exact row match after SE-column alignment
131,DB00380,dexrazoxane,734,Dexrazoxane,resolved_by_frequency_matrix,Exact row match after SE-column alignment
132,DB00381,amlodipine,387,Amlodipine,resolved_by_frequency_matrix,Exact row match after SE-column alignment
133,DB00390,digoxin,542,Digoxin,resolved_by_frequency_matrix,Exact row match after SE-column alignment
134,DB00393,nimodipine,682,Nimodipine,resolved_by_frequency_matrix,Exact row match after SE-column alignment
135,DB00394,beclometasone,73,Beclomethasone,resolved_by_frequency_matrix,Exact row match after SE-column alignment
136,DB00396,progesterone,317,Progesterone,resolved_by_frequency_matrix,Exact row match after SE-column alignment
137,DB00398,sorafenib,649,Sorafenib,resolved_by_frequency_matrix,Exact row match after SE-column alignment
138,DB00399,zoledronic acid,385,Zoledronic acid,resolved_by_frequency_matrix,Exact row match after SE-column alignment
139,DB00401,nisoldipine,684,Nisoldipine,resolved_by_frequency_matrix,Exact row match after SE-column alignment
140,DB00402,eszopiclone,551,Eszopiclone,resolved_by_frequency_matrix,Exact row match after SE-column alignment
141,DB00404,alprazolam,436,Alprazolam,resolved_by_frequency_matrix,Exact row match after SE-column alignment
142,DB00408,loxapine,606,Loxapine,resolved_by_frequency_matrix,Exact row match after SE-column alignment
143,DB00410,mupirocin,244,Mupirocin,resolved_by_frequency_matrix,Exact row match after SE-column alignment
144,DB00412,rosiglitazone,462,Rosiglitazone,resolved_by_frequency_matrix,Exact row match after SE-column alignment
145,DB00413,pramipexole,259,Pramipexole,resolved_by_frequency_matrix,Exact row match after SE-column alignment
146,DB00419,miglustat,146,Miglustat,resolved_by_frequency_matrix,Exact row match after SE-column alignment
147,DB00422,methylphenidate,319,Methylphenidate,resolved_by_frequency_matrix,Exact row match after SE-column alignment
148,DB00424,hyoscyamine,427,Hyoscyamine,resolved_by_frequency_matrix,Exact row match after SE-column alignment
149,DB00425,zolpidem,359,Zolpidem,resolved_by_frequency_matrix,Exact row match after SE-column alignment
150,DB00426,famciclovir,88,Famciclovir,resolved_by_frequency_matrix,Exact row match after SE-column alignment
151,DB00428,streptozocin,579,Streptozocin,resolved_by_frequency_matrix,Exact row match after SE-column alignment
152,DB00437,allopurinol,263,Allopurinol,resolved_by_frequency_matrix,Exact row match after SE-column alignment
153,DB00438,ceftazidime,227,Ceftazidime,resolved_by_frequency_matrix,Exact row match after SE-column alignment
154,DB00439,cerivastatin,361,Cerivastatin,resolved_by_frequency_matrix,Exact row match after SE-column alignment
155,DB00440,trimethoprim,505,Trimethoprim,resolved_by_frequency_matrix,Exact row match after SE-column alignment
156,DB00441,gemcitabine,725,Gemcitabine,resolved_by_frequency_matrix,Exact row match after SE-column alignment
157,DB00442,entecavir,371,Entecavir,resolved_by_frequency_matrix,Exact row match after SE-column alignment
158,DB00444,teniposide,439,Teniposide,resolved_by_frequency_matrix,Exact row match after SE-column alignment
159,DB00445,epirubicin,614,Epirubicin,resolved_by_frequency_matrix,Exact row match after SE-column alignment
160,DB00448,lansoprazole,652,Lansoprazole,resolved_by_frequency_matrix,Exact row match after SE-column alignment
161,DB00455,loratadine,538,Loratadine,resolved_by_frequency_matrix,Exact row match after SE-column alignment
162,DB00457,prazosin,335,Prazosin,resolved_by_frequency_matrix,Exact row match after SE-column alignment
163,DB00458,imipramine,68,Imipramine,resolved_by_frequency_matrix,Exact row match after SE-column alignment
164,DB00459,acitretin,483,Acitretin,resolved_by_frequency_matrix,Exact row match after SE-column alignment
165,DB00460,verteporfin,530,Verteporfin,resolved_by_frequency_matrix,Exact row match after SE-column alignment
166,DB00461,nabumetone,274,Nabumetone,resolved_by_frequency_matrix,Exact row match after SE-column alignment
167,DB00465,ketorolac,91,Ketorolac,resolved_by_frequency_matrix,Exact row match after SE-column alignment
168,DB00471,montelukast,306,Montelukast,resolved_by_frequency_matrix,Exact row match after SE-column alignment
169,DB00472,fluoxetine,584,Fluoxetine,resolved_by_frequency_matrix,Exact row match after SE-column alignment
170,DB00476,duloxetine,51,Duloxetine,resolved_by_frequency_matrix,Exact row match after SE-column alignment
171,DB00478,rimantadine,220,Rimantadine,resolved_by_frequency_matrix,Exact row match after SE-column alignment
172,DB00480,lenalidomide,741,Lenalidomide,resolved_by_frequency_matrix,Exact row match after SE-column alignment
173,DB00481,raloxifene,434,Raloxifene,resolved_by_frequency_matrix,Exact row match after SE-column alignment
174,DB00482,celecoxib,683,Celecoxib,resolved_by_frequency_matrix,Exact row match after SE-column alignment
175,DB00484,brimonidine,158,Brimonidine,resolved_by_frequency_matrix,Exact row match after SE-column alignment
176,DB00485,dicloxacillin,125,Dicloxacillin,resolved_by_frequency_matrix,Exact row match after SE-column alignment
177,DB00486,nabilone,496,Nabilone,resolved_by_frequency_matrix,Exact row match after SE-column alignment
178,DB00489,sotalol,231,Sotalol,resolved_by_frequency_matrix,Exact row match after SE-column alignment
179,DB00490,buspirone,719,Buspirone,resolved_by_frequency_matrix,Exact row match after SE-column alignment
180,DB00492,fosinopril,557,Fosinopril,resolved_by_frequency_matrix,Exact row match after SE-column alignment
181,DB00494,entacapone,89,Entacapone,resolved_by_frequency_matrix,Exact row match after SE-column alignment
182,DB00495,zidovudine,596,Zidovudine,resolved_by_frequency_matrix,Exact row match after SE-column alignment
183,DB00496,darifenacin,72,Darifenacin,resolved_by_frequency_matrix,Exact row match after SE-column alignment
184,DB00497,oxycodone,489,Oxycodone,resolved_by_frequency_matrix,Exact row match after SE-column alignment
185,DB00499,flutamide,705,Flutamide,resolved_by_frequency_matrix,Exact row match after SE-column alignment
186,DB00501,cimetidine,446,Cimetidine,resolved_by_frequency_matrix,Exact row match after SE-column alignment
187,DB00502,haloperidol,574,Haloperidol,resolved_by_frequency_matrix,Exact row match after SE-column alignment
188,DB00503,ritonavir,137,Ritonavir,resolved_by_frequency_matrix,Exact row match after SE-column alignment
189,DB00507,nitazoxanide,81,Nitazoxanide,resolved_by_frequency_matrix,Exact row match after SE-column alignment
190,DB00512,vancomycin,393,Vancomycin,resolved_by_frequency_matrix,Exact row match after SE-column alignment
191,DB00514,dextromethorphan,658,Dextromethorphan,resolved_by_frequency_matrix,Exact row match after SE-column alignment
192,DB00518,albendazole,211,Albendazole,resolved_by_frequency_matrix,Exact row match after SE-column alignment
193,DB00519,trandolapril,108,Trandolapril,resolved_by_frequency_matrix,Exact row match after SE-column alignment
194,DB00520,caspofungin,423,Caspofungin,resolved_by_frequency_matrix,Exact row match after SE-column alignment
195,DB00523,alitretinoin,713,Alitretinoin,resolved_by_frequency_matrix,Exact row match after SE-column alignment
196,DB00524,metolazone,196,Metolazone,resolved_by_frequency_matrix,Exact row match after SE-column alignment
197,DB00526,oxaliplatin,153,Oxaliplatin,resolved_by_frequency_matrix,Exact row match after SE-column alignment
198,DB00528,lercanidipine,49,Lercanidipine,resolved_by_frequency_matrix,Exact row match after SE-column alignment
199,DB00529,foscarnet,619,Foscarnet,resolved_by_frequency_matrix,Exact row match after SE-column alignment
200,DB00530,erlotinib,739,Erlotinib,resolved_by_frequency_matrix,Exact row match after SE-column alignment
201,DB00531,cyclophosphamide,627,Cyclophosphamide,resolved_by_frequency_matrix,Exact row match after SE-column alignment
202,DB00533,rofecoxib,680,Rofecoxib,resolved_by_frequency_matrix,Exact row match after SE-column alignment
203,DB00537,ciprofloxacin,381,Ciprofloxacin,resolved_by_frequency_matrix,Exact row match after SE-column alignment
204,DB00538,gadoversetamide,74,Gadoversetamide,resolved_by_frequency_matrix,Exact row match after SE-column alignment
205,DB00539,toremifene,87,Toremifene,resolved_by_frequency_matrix,Exact row match after SE-column alignment
206,DB00541,vincristine,266,Vincristine,resolved_by_frequency_matrix,Exact row match after SE-column alignment
207,DB00542,benazepril,583,Benazepril,resolved_by_frequency_matrix,Exact row match after SE-column alignment
208,DB00544,fluorouracil,585,Fluorouracil,resolved_by_frequency_matrix,Exact row match after SE-column alignment
209,DB00545,pyridostigmine,166,Pyridostigmine,resolved_by_frequency_matrix,Exact row match after SE-column alignment
210,DB00548,azelaic acid,9,Azelaic acid,resolved_by_frequency_matrix,Exact row match after SE-column alignment
211,DB00549,zafirlukast,250,Zafirlukast,resolved_by_frequency_matrix,Exact row match after SE-column alignment
212,DB00552,pentostatin,617,Pentostatin,resolved_by_frequency_matrix,Exact row match after SE-column alignment
213,DB00554,piroxicam,532,Piroxicam,resolved_by_frequency_matrix,Exact row match after SE-column alignment
214,DB00555,lamotrigine,248,Lamotrigine,resolved_by_frequency_matrix,Exact row match after SE-column alignment
215,DB00558,zanamivir,368,Zanamivir,resolved_by_frequency_matrix,Exact row match after SE-column alignment
216,DB00559,bosentan,113,Bosentan,resolved_by_frequency_matrix,Exact row match after SE-column alignment
217,DB00560,tigecycline,350,Tigecycline,resolved_by_frequency_matrix,Exact row match after SE-column alignment
218,DB00563,methotrexate,312,Methotrexate,resolved_by_frequency_matrix,Exact row match after SE-column alignment
219,DB00564,carbamazepine,331,Carbamazepine,resolved_by_frequency_matrix,Exact row match after SE-column alignment
220,DB00565,cisatracurium,22,Cisatracurium,resolved_by_frequency_matrix,Exact row match after SE-column alignment
221,DB00569,fondaparinux,284,Fondaparinux,resolved_by_frequency_matrix,Exact row match after SE-column alignment
222,DB00571,propranolol,435,Propranolol,resolved_by_frequency_matrix,Exact row match after SE-column alignment
223,DB00575,clonidine,689,Clonidine,resolved_by_frequency_matrix,Exact row match after SE-column alignment
224,DB00577,valaciclovir,567,Valaciclovir,resolved_by_frequency_matrix,Exact row match after SE-column alignment
225,DB00580,valdecoxib,364,Valdecoxib,resolved_by_frequency_matrix,Exact row match after SE-column alignment
226,DB00582,voriconazole,172,Voriconazole,resolved_by_frequency_matrix,Exact row match after SE-column alignment
227,DB00583,levocarnitine,491,Levocarnitine,resolved_by_frequency_matrix,Exact row match after SE-column alignment
228,DB00584,enalapril,138,Enalapril,resolved_by_frequency_matrix,Exact row match after SE-column alignment
229,DB00585,nizatidine,630,Nizatidine,resolved_by_frequency_matrix,Exact row match after SE-column alignment
230,DB00586,diclofenac,126,Diclofenac,resolved_by_frequency_matrix,Exact row match after SE-column alignment
231,DB00590,doxazosin,636,Doxazosin,resolved_by_frequency_matrix,Exact row match after SE-column alignment
232,DB00594,amiloride,99,Amiloride,resolved_by_frequency_matrix,Exact row match after SE-column alignment
233,DB00597,gadoteridol,442,Gadoteridol,resolved_by_frequency_matrix,Exact row match after SE-column alignment
234,DB00598,labetalol,309,Labetalol,resolved_by_frequency_matrix,Exact row match after SE-column alignment
235,DB00601,linezolid,644,Linezolid,resolved_by_frequency_matrix,Exact row match after SE-column alignment
236,DB00602,ivermectin,612,Ivermectin,resolved_by_frequency_matrix,Exact row match after SE-column alignment
237,DB00603,medroxyprogesterone,14,Medroxyprogesterone acetate,resolved_by_frequency_matrix,Exact row match after SE-column alignment
238,DB00611,butorphanol,188,Butorphanol,resolved_by_frequency_matrix,Exact row match after SE-column alignment
239,DB00612,bisoprolol,221,Bisoprolol,resolved_by_frequency_matrix,Exact row match after SE-column alignment
240,DB00615,rifabutin,25,Rifabutin,resolved_by_frequency_matrix,Exact row match after SE-column alignment
241,DB00619,imatinib,107,Imatinib,resolved_by_frequency_matrix,Exact row match after SE-column alignment
242,DB00620,triamcinolone,595,Triamcinolone,resolved_by_frequency_matrix,Exact row match after SE-column alignment
243,DB00624,testosterone,717,Testosterone,resolved_by_frequency_matrix,Exact row match after SE-column alignment
244,DB00625,efavirenz,149,Efavirenz,resolved_by_frequency_matrix,Exact row match after SE-column alignment
245,DB00630,alendronic acid,210,Alendronic acid,resolved_by_frequency_matrix,Exact row match after SE-column alignment
246,DB00631,clofarabine,752,Clofarabine,resolved_by_frequency_matrix,Exact row match after SE-column alignment
247,DB00633,dexmedetomidine,432,Dexmedetomidine,resolved_by_frequency_matrix,Exact row match after SE-column alignment
248,DB00640,adenosine,708,Adenosine,resolved_by_frequency_matrix,Exact row match after SE-column alignment
249,DB00641,simvastatin,618,Simvastatin,resolved_by_frequency_matrix,Exact row match after SE-column alignment
250,DB00642,pemetrexed,320,Pemetrexed,resolved_by_frequency_matrix,Exact row match after SE-column alignment
251,DB00644,gonadorelin,738,Gonadorelin,resolved_by_frequency_matrix,Exact row match after SE-column alignment
252,DB00649,stavudine,747,Stavudine,resolved_by_frequency_matrix,Exact row match after SE-column alignment
253,DB00650,calcium folinate,180,Leucovorin,resolved_by_frequency_matrix,Exact row match after SE-column alignment
254,DB00654,latanoprost,213,Latanoprost,resolved_by_frequency_matrix,Exact row match after SE-column alignment
255,DB00655,estrone,471,Estrone,resolved_by_frequency_matrix,Exact row match after SE-column alignment
256,DB00656,trazodone,33,Trazodone,resolved_by_frequency_matrix,Exact row match after SE-column alignment
257,DB00658,sevelamer,20,Sevelamer,resolved_by_frequency_matrix,Exact row match after SE-column alignment
258,DB00659,acamprosate,228,Acamprosate,resolved_by_frequency_matrix,Exact row match after SE-column alignment
259,DB00661,verapamil,267,Verapamil,resolved_by_frequency_matrix,Exact row match after SE-column alignment
260,DB00665,nilutamide,268,Nilutamide,resolved_by_frequency_matrix,Exact row match after SE-column alignment
261,DB00666,nafarelin,519,Nafarelin,resolved_by_frequency_matrix,Exact row match after SE-column alignment
262,DB00669,sumatriptan,403,Sumatriptan,resolved_by_frequency_matrix,Exact row match after SE-column alignment
263,DB00671,cefixime,23,Cefixime,resolved_by_frequency_matrix,Exact row match after SE-column alignment
264,DB00673,aprepitant,132,Aprepitant,resolved_by_frequency_matrix,Exact row match after SE-column alignment
265,DB00674,galantamine,679,Galantamine,resolved_by_frequency_matrix,Exact row match after SE-column alignment
266,DB00675,tamoxifen,500,Tamoxifen,resolved_by_frequency_matrix,Exact row match after SE-column alignment
267,DB00678,losartan,607,Losartan,resolved_by_frequency_matrix,Exact row match after SE-column alignment
268,DB00681,amphotericin B,156,Amphotericin B,resolved_by_frequency_matrix,Exact row match after SE-column alignment
269,DB00683,midazolam,183,Midazolam,resolved_by_frequency_matrix,Exact row match after SE-column alignment
270,DB00684,tobramycin,236,Tobramycin,resolved_by_frequency_matrix,Exact row match after SE-column alignment
271,DB00685,trovafloxacin,569,Trovafloxacin,resolved_by_frequency_matrix,Exact row match after SE-column alignment
272,DB00686,pentosan polysulfate sodium,298,Pentosan polysulfate,resolved_by_frequency_matrix,Exact row match after SE-column alignment
273,DB00691,moexipril,42,Moexipril,resolved_by_frequency_matrix,Exact row match after SE-column alignment
274,DB00692,phentolamine,590,Phentolamine,resolved_by_frequency_matrix,Exact row match after SE-column alignment
